"ID","MSPINDLE","MSP_DUR","MSP_F","MSP_FL","MSP_FU","MSP_SIZE","MSP_START","MSP_STAT","MSP_STOP"
"study_002","218",1.195000001,15.625,15.625,15.625,1,5436.77,3.84983598358957,5437.965
"study_001","219",2.250000001,14.1358482947532,13.28125,16.40625,5,9497.755,3.71928866559914,9500.005
"study_002","219",1.625000001,16.015625,16.015625,16.015625,1,5438.84,1.62055859159135,5440.465
"study_001","22",1.440000001,14.2647101489474,14.0625,14.84375,4,7301.935,1.75997196024852,7303.375
"study_002","22",0.475000001,17.1875,17.1875,17.1875,1,4465.93,1.47170277953484,4466.405
"study_001","220",2.420000001,9.375,9.375,9.375,2,9497.95,1.94086775975611,9500.37
"study_002","220",0.420000001,16.5119750993069,15.625,17.1875,2,5441.035,2.55986465849368,5441.455
"study_001","221",0.905000001,11.5838300013271,10.9375,12.5,2,9794.275,1.52026958303432,9795.18
"study_002","221",1.915000001,11.8700851895426,9.375,12.890625,5,5442.665,1.66236187991915,5444.58
"study_001","222",0.860000001,15.625,15.625,15.625,1,9794.705,1.34381487074364,9795.565
"study_002","222",0.530000001,9.375,9.375,9.375,1,5465.305,1.56578884728321,5465.835
"study_001","223",0.540000001,9.375,9.375,9.375,2,9852.08,2.11867748290037,9852.62
"study_002","223",0.695000001,8.59375,8.59375,8.59375,1,5469.84,1.24350898695215,5470.535
"study_001","224",0.590000001,15.625,15.625,15.625,2,9856.29,1.30887684265497,9856.88
"study_002","224",0.530000001,9.375,9.375,9.375,1,5486.665,1.42822317025303,5487.195
"study_001","225",0.445000001,12.5,12.5,12.5,2,9857.055,1.96484305360005,9857.5
"study_002","225",0.580000001,9.375,9.375,9.375,1,5570.58,1.3176648543608,5571.16
"study_001","226",0.690000001,13.2797370646091,10.15625,15.625,7,9859.53,13.6137100865882,9860.22
"study_002","226",1.015000001,11.3164930256087,10.9375,11.71875,2,5601.89,1.28842088653249,5602.905
