"ID","CH","E","DOWN_AMP","DUR","N","P2P_AMP","SLOPE_NEG1","SLOPE_NEG2","SLOPE_POS1","SLOPE_POS2","UP_AMP"
"study_001","C4M1",284,-54.9222512561149,1.46090909090909,11,105.450166518775,-208.096568433653,186.806952811207,163.732189039804,-203.03413435654,50.5279152626605
"study_002","C4M1",284,-54.9222512561149,1.46090909090909,11,105.450166518775,-208.096568433653,186.806952811207,163.732189039804,-203.03413435654,50.5279152626605
"study_001","C4M1",285,-51.4091090273103,1.16625,8,100.842328708925,-225.158724228032,205.695804288263,302.969819947707,-152.795794984205,49.4332196816151
"study_002","C4M1",285,-51.4091090273103,1.16625,8,100.842328708925,-225.158724228032,205.695804288263,302.969819947707,-152.795794984205,49.4332196816151
"study_001","C4M1",286,-68.827348744564,1.625625,8,121.832122493899,-244.313705253123,199.642457820507,216.856361625624,-170.746316620104,53.0047737493345
"study_002","C4M1",286,-68.827348744564,1.625625,8,121.832122493899,-244.313705253123,199.642457820507,216.856361625624,-170.746316620104,53.0047737493345
"study_001","C4M1",287,-69.4304258002925,1.6225,6,130.905116247293,-201.043779814449,242.43994995032,191.106507760196,-244.221630245346,61.4746904470005
"study_002","C4M1",287,-69.4304258002925,1.6225,6,130.905116247293,-201.043779814449,242.43994995032,191.106507760196,-244.221630245346,61.4746904470005
"study_001","C4M1",288,-57.1990492412188,1.445,11,113.730115787583,-211.144277951869,183.955210137716,217.958015374183,-178.298732426528,56.5310665463642
"study_002","C4M1",288,-57.1990492412188,1.445,11,113.730115787583,-211.144277951869,183.955210137716,217.958015374183,-178.298732426528,56.5310665463642
"study_001","C4M1",289,-62.4442366398538,1.51833333333333,9,110.971044683831,-214.412986860938,245.783288007842,191.877695268473,-121.229066264298,48.5268080439776
"study_002","C4M1",289,-62.4442366398538,1.51833333333333,9,110.971044683831,-214.412986860938,245.783288007842,191.877695268473,-121.229066264298,48.5268080439776
"study_001","C4M1",290,-62.4807314709458,1.5245,10,126.554206563484,-215.874209846157,259.638493044485,336.703435533594,-216.495431733011,64.0734750925385
"study_002","C4M1",290,-62.4807314709458,1.5245,10,126.554206563484,-215.874209846157,259.638493044485,336.703435533594,-216.495431733011,64.0734750925385
"study_001","C4M1",291,-58.0866064606281,1.52583333333333,12,121.168411498091,-218.456045043757,204.583328659175,223.801267545779,-215.488626538366,63.0818050374629
"study_002","C4M1",291,-58.0866064606281,1.52583333333333,12,121.168411498091,-218.456045043757,204.583328659175,223.801267545779,-215.488626538366,63.0818050374629
"study_001","C4M1",292,-52.3098974907709,1.443125,8,109.241998466614,-232.06943442842,156.879486797665,216.487608784206,-221.345084624651,56.9321009758428
"study_002","C4M1",292,-52.3098974907709,1.443125,8,109.241998466614,-232.06943442842,156.879486797665,216.487608784206,-221.345084624651,56.9321009758428
"study_001","C4M1",293,-75.3717685640738,1.55777777777778,9,141.4956139821,-238.643596051393,247.89756479724,239.768360387619,-218.120220779004,66.1238454180261
"study_002","C4M1",293,-79.5440129708914,1.565625,8,148.340294652311,-259.344955723796,252.638627209668,259.751826143443,-210.428721008234,68.7962816814195
"study_001","C4M1",294,-47.5464982828426,1.7175,2,101.079126175472,-150.714946527284,96.6479989742503,137.312181398503,-125.803683671533,53.5326278926294
"study_001","C4M1",297,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",298,-52.2517625270787,1.15,2,86.9508800389942,-238.628199793297,155.640237831504,91.6634623575971,-197.455805563579,34.6991175119155
"study_001","C4M1",299,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",300,-35.2433919908527,0.96,1,74.31234411987,-140.973567399517,167.825675347748,114.908682394437,-244.180949280227,39.0689521290172
"study_001","C4M1",301,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",301,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",302,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",302,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",303,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",303,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",304,-44.7233094559856,1.71,1,77.0759200963393,-162.630215612201,107.767010477635,323.526103168276,-35.1658810925955,32.3526106403537
